,Prompt,Activation Location,Activation Name,Magnitude,Token
0,,0,blocks.0.hook_resid_pre,4.079030513763428,<|endoftext|>
1,,0,blocks.0.hook_resid_pre,1.887571930885315,M
2,,0,blocks.0.hook_resid_pre,2.452242374420166,ATS
3,,0,blocks.0.hook_resid_pre,1.3591804504394531, is
4,,0,blocks.0.hook_resid_pre,1.6203792095184326, really
5,,0,blocks.0.hook_resid_pre,1.8748785257339478, cool
6,,1,blocks.1.hook_resid_pre,40.997501373291016,<|endoftext|>
7,,1,blocks.1.hook_resid_pre,30.147747039794922,M
8,,1,blocks.1.hook_resid_pre,34.859405517578125,ATS
9,,1,blocks.1.hook_resid_pre,30.505014419555664, is
10,,1,blocks.1.hook_resid_pre,27.41799545288086, really
11,,1,blocks.1.hook_resid_pre,28.50023651123047, cool
12,,2,blocks.2.hook_resid_pre,67.1581039428711,<|endoftext|>
13,,2,blocks.2.hook_resid_pre,52.97310256958008,M
14,,2,blocks.2.hook_resid_pre,51.89987564086914,ATS
15,,2,blocks.2.hook_resid_pre,50.16526412963867, is
16,,2,blocks.2.hook_resid_pre,46.21745300292969, really
17,,2,blocks.2.hook_resid_pre,47.071861267089844, cool
18,,3,blocks.3.hook_resid_pre,90.12373352050781,<|endoftext|>
19,,3,blocks.3.hook_resid_pre,68.89684295654297,M
20,,3,blocks.3.hook_resid_pre,62.200050354003906,ATS
21,,3,blocks.3.hook_resid_pre,61.15549850463867, is
22,,3,blocks.3.hook_resid_pre,57.463043212890625, really
23,,3,blocks.3.hook_resid_pre,58.78734588623047, cool
24,,4,blocks.4.hook_resid_pre,100.91646575927734,<|endoftext|>
25,,4,blocks.4.hook_resid_pre,79.39736938476562,M
26,,4,blocks.4.hook_resid_pre,69.28936004638672,ATS
27,,4,blocks.4.hook_resid_pre,68.64513397216797, is
28,,4,blocks.4.hook_resid_pre,66.5788345336914, really
29,,4,blocks.4.hook_resid_pre,69.25733947753906, cool
30,,5,blocks.5.hook_resid_pre,108.96916961669922,<|endoftext|>
31,,5,blocks.5.hook_resid_pre,87.56212615966797,M
32,,5,blocks.5.hook_resid_pre,72.66615295410156,ATS
33,,5,blocks.5.hook_resid_pre,71.04180145263672, is
34,,5,blocks.5.hook_resid_pre,71.5970458984375, really
35,,5,blocks.5.hook_resid_pre,75.50818634033203, cool
36,,6,blocks.6.hook_resid_pre,115.52584075927734,<|endoftext|>
37,,6,blocks.6.hook_resid_pre,94.43946838378906,M
38,,6,blocks.6.hook_resid_pre,77.54197692871094,ATS
39,,6,blocks.6.hook_resid_pre,72.89163970947266, is
40,,6,blocks.6.hook_resid_pre,76.03715515136719, really
41,,6,blocks.6.hook_resid_pre,79.23068237304688, cool
42,,7,blocks.7.hook_resid_pre,146.7826690673828,<|endoftext|>
43,,7,blocks.7.hook_resid_pre,99.3497543334961,M
44,,7,blocks.7.hook_resid_pre,80.79374694824219,ATS
45,,7,blocks.7.hook_resid_pre,74.94406127929688, is
46,,7,blocks.7.hook_resid_pre,78.63484954833984, really
47,,7,blocks.7.hook_resid_pre,83.94037628173828, cool
48,,8,blocks.8.hook_resid_pre,490.8040466308594,<|endoftext|>
49,,8,blocks.8.hook_resid_pre,104.05976104736328,M
50,,8,blocks.8.hook_resid_pre,85.14254760742188,ATS
51,,8,blocks.8.hook_resid_pre,75.75521087646484, is
52,,8,blocks.8.hook_resid_pre,81.8969497680664, really
53,,8,blocks.8.hook_resid_pre,88.21077728271484, cool
54,,9,blocks.9.hook_resid_pre,1122.58740234375,<|endoftext|>
55,,9,blocks.9.hook_resid_pre,110.60270690917969,M
56,,9,blocks.9.hook_resid_pre,88.40747833251953,ATS
57,,9,blocks.9.hook_resid_pre,79.17573547363281, is
58,,9,blocks.9.hook_resid_pre,84.53147888183594, really
59,,9,blocks.9.hook_resid_pre,91.4891586303711, cool
60,,10,blocks.10.hook_resid_pre,1663.28125,<|endoftext|>
61,,10,blocks.10.hook_resid_pre,118.5623779296875,M
62,,10,blocks.10.hook_resid_pre,91.23895263671875,ATS
